"EVTYPE", "newval"
"NON TSTM WIND", "WIND"
"NON-TSTM WIND", "WIND"
"OTHER", "OTHER"
"RAIN", "RAIN"
"RAIN/SNOW", "RAIN/SNOW"
"RAINSTORM", "RAIN"
"RAIN/WIND", "WIND/RAIN"
"RAPIDLY RISING WATER", "FLOOD"
"RECORD COLD", "COLD"
"RECORD/EXCESSIVE HEAT", "HEAT"
"RECORD HEAT", "HEAT"
"RECORD RAINFALL", "RAIN"
"RECORD SNOW", "SNOW"
"RIP CURRENT", "RIP CURRENT"
"RIP CURRENTS", "RIP CURRENT"
"RIP CURRENTS/HEAVY SURF", "RIP CURRENT/SURF"
"RIVER AND STREAM FLOOD", "FLOOD"
"RIVER FLOOD", "FLOOD"
"RIVER FLOODING", "FLOOD"
"ROCK SLIDE", "ROCK SLIDE"
"ROGUE WAVE", "SURF"
"ROUGH SEAS", "SEA"
"ROUGH SURF", "SURF"
"RURAL FLOOD", "FLOOD"
"SEICHE", "SEICHE"
"SEVERE THUNDERSTORM", "THUNDERSTORM"
"SEVERE THUNDERSTORMS", "THUNDERSTORM"
"SEVERE THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"SEVERE TURBULENCE", "TURBULENCE"
"SLEET", "HAIL"
"SLEET/ICE STORM", "HAIL"
"SMALL HAIL", "HAIL"
"SMALL STREAM FLOOD", "FLOOD"
"SNOW", "SNOW"
"SNOW ACCUMULATION", "SNOW"
"SNOW AND HEAVY SNOW", "SNOW"
"SNOW AND ICE", "SNOW"
"SNOW AND ICE STORM", "SNOW/HAIL"
"SNOW/ BITTER COLD", "SNOW/COLD"
"SNOW/BLOWING SNOW", "SNOW"
"SNOW/COLD", "SNOW/COLD"
"SNOW FREEZING RAIN", "SNOW/HAIL"
"SNOW/FREEZING RAIN", "SNOW/HAIL"
"SNOW/HEAVY SNOW", "SNOW"
"SNOW/HIGH WINDS", "SNOW/WIND"
"SNOW/ ICE", "SNOW/ICE"
"SNOW/ICE", "SNOW/ICE"
"SNOW/ICE STORM", "SNOW/HAIL"
"SNOWMELT FLOODING", "FLOOD"
"SNOW/SLEET", "SNOW/HAIL"
"SNOW/SLEET/FREEZING RAIN", "SNOW/HAIL"
"SNOW SQUALL", "SNOW"
"SNOW SQUALLS", "SNOW"
"STORM SURGE", "STORM/SEA"
"STORM SURGE/TIDE", "STORM/SEA"
"STRONG WIND", "WIND"
"STRONG WINDS", "WIND"
"THUNDEERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERESTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSNOW", "THUNDERSTORM/SNOW"
"THUNDERSTORM", "THUNDERSTORM"
"THUNDERSTORM DAMAGE TO", "THUNDERSTORM"
"THUNDERSTORMS", "THUNDERSTORM"
"THUNDERSTORMS WIND", "THUNDERSTORM/WIND"
"THUNDERSTORMW", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND.", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 60 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 65 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 65MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND 98 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/AWNING", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND (G40)", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G50", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G52", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G55", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND G60", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WIND/LIGHTNING", "THUNDERSTORM/WIND/LIGHTNING"
"THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS.", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS", "THUNDERSTORM/WIND"
"THUNDERSTORMWINDS", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS 13", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS53", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS 63 MPH", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS/ FLOOD", "THUNDERSTORM/WIND/FLOOD"
"THUNDERSTORM WINDS/FLOODING", "THUNDERSTORM/WIND/FLOOD"
"THUNDERSTORM WINDS/FUNNEL CLOU", "THUNDERSTORM/WIND/FUNNEL"
"THUNDERSTORM WINDS G60", "THUNDERSTORM/WIND"
"THUNDERSTORM WINDS HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WINDS/HAIL", "THUNDERSTORM/WIND/HAIL"
"THUNDERSTORM WINDS LIGHTNING", "THUNDERSTORM/WIND/LIGHTNING"
"THUNDERSTORM WINDSS", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/ TREE", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND/ TREES", "THUNDERSTORM/WIND"
"THUNDERSTORM WIND TREES", "THUNDERSTORM/WIND"
"THUNDERSTORM WINS", "THUNDERSTORM/WIND"
"THUNDERSTROM WIND", "THUNDERSTORM/WIND"
"THUNDERTORM WINDS", "THUNDERSTORM/WIND"
"THUNERSTORM WINDS", "THUNDERSTORM/WIND"
"TIDAL FLOODING", "FLOOD"
"TORNADO", "TORNADO"
"TORNADOES", "TORNADO"
"TORNADOES, TSTM WIND, HAIL", "TORNADO"
"TORNADO F0", "TORNADO"
"TORNADO F1", "TORNADO"
"TORNADO F2", "TORNADO"
"TORNADO F3", "TORNADO" 
"TORNDAO", "TORNADO"
"TORRENTIAL RAINFALL", "RAIN"
"TROPICAL DEPRESSION", "TROPICAL DEPRESSION"
"TROPICAL STORM", "TROPICAL STORM"
"TROPICAL STORM ALBERTO", "TROPICAL STORM"
"TROPICAL STORM DEAN", "TROPICAL STORM"
"TROPICAL STORM GORDON", "TROPICAL STORM"
"TROPICAL STORM JERRY", "TROPICAL STORM"
"TSTMW", "TROPICAL STORM/WIND"
" TSTM WIND", "TROPICAL STORM/WIND"
"TSTM WIND", "TROPICAL STORM/WIND"
"TSTM WIND 40", "TROPICAL STORM/WIND"
"TSTM WIND (41)", "TROPICAL STORM/WIND"
"TSTM WIND 45", "TROPICAL STORM/WIND"
"TSTM WIND 55", "TROPICAL STORM/WIND"
"TSTM WIND 65)", "TROPICAL STORM/WIND"
"TSTM WIND AND LIGHTNING", "TROPICAL STORM/WIND/LIGHTNING"
"TSTM WIND DAMAGE", "TROPICAL STORM/WIND"
"TSTM WIND (G35)", "TROPICAL STORM/WIND"
"TSTM WIND (G40)", "TROPICAL STORM/WIND"
" TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND (G45)", "TROPICAL STORM/WIND"
"TSTM WIND G45", "TROPICAL STORM/WIND"
"TSTM WIND G58", "TROPICAL STORM/WIND"
"TSTM WIND/HAIL", "TROPICAL STORM/WIND/HAIL",
"TSTM WINDS", "TROPICAL STORM/WIND"
"TSUNAMI", "TSUNAMI"
"TUNDERSTORM WIND", "TUNDERSTORM/WIND"
"UNSEASONABLE COLD", "COLD"
"UNSEASONABLY COLD", "COLD"
"UNSEASONABLY WARM", "WARM"
"UNSEASONABLY WARM AND DRY", "WARM/DRY"
"UNSEASONAL RAIN", "RAIN"
"URBAN AND SMALL", "FLOOD"
"URBAN AND SMALL STREAM FLOODIN", "FLOOD"
"URBAN FLOOD", "FLOOD"
"URBAN FLOODING", "FLOOD"
"URBAN/SMALL STREAM FLOOD", "FLOOD"
"URBAN/SML STREAM FLD", "FLOOD"
"WARM WEATHER", "WARM"
"WATERSPOUT", "WATERSPOUT"
"WATERSPOUT-", "WATERSPOUT"
"WATERSPOUT TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT/ TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT-TORNADO", "TORNADO/WATERSPOUT"
"WATERSPOUT/TORNADO", "TORNADO/WATERSPOUT"
"WET MICROBURST", "TORNADO/WATERSPOUT"
"WHIRLWIND", "WIND"
"WILDFIRE", "FIRE"
"WILD FIRES", "FIRE"
"WILDFIRES", "FIRE"
"WILD/FOREST FIRE", "FIRE"
"WILD/FOREST FIRES", "FIRE"
"WIND", "WIND"
"WIND AND WAVE", "WIND/SURF"
"WIND DAMAGE", "WIND"
"WIND/HAIL", "WIND/HAIL"
"WINDS", "WIND"
"WIND STORM", "WIND"
"WINTER STORM", "STORM"
"WINTER STORM HIGH WINDS", "STORM/WIND"
"WINTER STORMS", "STORM"
"WINTER WEATHER", "WINTERY MIX"
"WINTER WEATHER MIX", "WINTERY MIX"
"WINTER WEATHER/MIX", "WINTERY MIX"
"WINTRY MIX", "WINTERY MIX"
